type,question,difficulty,page,comment

# 難易度 : 1-本文中に記載あり 2-本文傍に記載あり 3-コラムや重要度が低いと独断したもの 4-知らなくて当然のもの

2,人間の視野は、静止時で片目だと左右それぞれ約[160]°、両目だと約[200]°であるが、このうち色彩を完全に確認できる範囲は左右それぞれ約[35]°付近までである,1,177
2,過労運転を避けるために、少なくとも[2]時間に1回は休息を取る,1,181
2,速度が[2]倍になると、遠心力は[4]倍になる,1,188

2,時速[60]kmでコンクリートの壁に激突した場合は、約[14]mの高さから落ちた場合と同じくらいの衝撃を受ける,1,202
2,車の速度が[2]倍になると、運動エネルギーは[4]倍になる,1,202
2,前照灯の光は、上向きで[100]m、下向きで[40]m前方の障害物を確認できる程度の明るさである,1,206
2,昼間でも、トンネルの中や濃い霧の中などで[50]m(高速道路では[200]m)先が見えないような場所を通行する時には、前照灯、車幅灯、尾灯などを点つけなければならない,1,210
2,[5]分を超える荷物の積み下ろしのための停止は、駐車である,1,270
2,[5]分以内の荷物の積み下ろしのための停止は、駐車ではない,1,270
2,交差点と、その端から[5]m以内の場所では、駐車も停車もしてはいけない,1,272
2,道路の曲がり角から[5]m以内の場所では、駐車も停車もしてはいけない,1,272
2,横断歩道や自動車横断帯と、その端から前後[5]m以内の場所では、駐車も停車もしてはいけない,1,272
2,踏切と、その端から前後[10]m以内の場所では、駐車も停車もしてはいけない,1,272
2,安全地帯の左側と、その前後[10]m以内の場所では、駐車も停車もしてはいけない,1,272
2,バス、路面電車の停留所の標示板(標示柱)から[10]m以内の場所では、駐車も停車もしてはいけない(運行時間中に限る),1,272
2,火災報知器から[1]m以内の場所では、駐車をしてはいけない,1,273
2,駐車場、車庫などの自動車用の出入り口から[3]m以内の場所では、駐車をしてはいけない,1,273
2,道路工事の区域の端から[5]m以内の場所では、駐車をしてはいけない,1,273
2,消防用機械器具の置き場、消防用防火水そう、これらの道路に接する出入り口から[5]m以内の場所では、駐車をしてはいけない,1,273
2,消火栓、指定消防水利の標識が設けられている位置や、消防用防火水そうの取り入れ口から[5]m以内の場所では、駐車をしてはいけない,1,273
2,道路上に駐車する場合、同じ場所に引き続き[12]時間以上(夜間は[8]時間以上)駐車してはいけない(特定の村の区域内の道路を除く),1,277
2,自動車(二輪の自動車を除く)を所有する人や使用・管理する人は、住所など自動車の使用の本拠の位置から[2]km以内の、道路以外の場所に自動車の保管場所を確保しなければならない,1,280


2,酒酔い運転の罰則は、[5]年以下の懲役または[100]万円以下の罰金である,2,180
2,酒気帯び運転(呼吸中のアルコール濃度が[0.15]mg/L以上)の罰則は、[3]年以下の懲役または[50]万円以下の罰金である,2,180
2,個人差はあるが、アルコール1単位(純アルコール約[20]gを含む酒類)を分解するのに、約[4]時間かかると言われている,2,182
2,習慣的にお酒を飲む人で、1日平均[3]単位を超えるような場合、アルコール依存症予備軍である,2,182
2,停止表示板の一片の長さは[45]cm以上のものでなければならない,2,222,確認必要


2,チャイルドシートの種類で乳児用とは、体重[10]kg未満、新生児から[1際くらいの乳児用のものを指す,3,248
2,チャイルドシートの種類で幼児用とは、体重[9]~[18]kg以下、1~4歳くらいのものをさす？,3
2,チャイルドシートの種類で学童用とは、体重[15]~[36]kg以下、4~10歳くらいのものをさす,3,248, 要確認すぎる


2,大型二輪免許または普通二輪免許を取得して[1]年を経過していない場合の二人乗りは禁止されている,1

# p201関連のめんどいのを書きましょう..あとで...
# 211めんどい2
# 262
# 278左
# 285-6
# 表とかの数値を書いてもいいけどちょっと趣旨違う感はあるよね
